group,file,layer,accuracy
random_large,test_random_models_3967524.err,0,0.7097
random_large,test_random_models_3967524.err,0,0.6803
random_large,test_random_models_3967524.err,0,0.6839
random_large,test_random_models_3967524.err,1,0.7003
random_large,test_random_models_3967524.err,1,0.6675
random_large,test_random_models_3967524.err,1,0.6772
random_large,test_random_models_3967524.err,2,0.6934
random_large,test_random_models_3967524.err,2,0.6566
random_large,test_random_models_3967524.err,2,0.6659
random_large,test_random_models_3967524.err,3,0.6855
random_large,test_random_models_3967524.err,3,0.6496
random_large,test_random_models_3967524.err,3,0.6608
random_large,test_random_models_3967524.err,4,0.6827
random_large,test_random_models_3967524.err,4,0.6475
random_large,test_random_models_3967524.err,4,0.6552
random_large,test_random_models_3967524.err,5,0.6763
random_large,test_random_models_3967524.err,5,0.643
random_large,test_random_models_3967524.err,5,0.6538
random_large,test_random_models_3967524.err,6,0.6744
random_large,test_random_models_3967524.err,6,0.6438
random_large,test_random_models_3967524.err,6,0.6535
random_large,test_random_models_3967524.err,7,0.6721
random_large,test_random_models_3967524.err,7,0.6437
random_large,test_random_models_3967524.err,7,0.6551
random_large,test_random_models_3967524.err,8,0.6707
random_large,test_random_models_3967524.err,8,0.6447
random_large,test_random_models_3967524.err,8,0.6532
random_large,test_random_models_3967524.err,9,0.672
random_large,test_random_models_3967524.err,9,0.6429
random_large,test_random_models_3967524.err,9,0.6589
random_large,test_random_models_3967524.err,10,0.6713
random_large,test_random_models_3967524.err,10,0.6395
random_large,test_random_models_3967524.err,10,0.6587
random_large,test_random_models_3967524.err,11,0.6686
random_large,test_random_models_3967524.err,11,0.6379
random_large,test_random_models_3967524.err,11,0.6571
random_large,test_random_models_3967524.err,12,0.6668
random_large,test_random_models_3967524.err,12,0.6396
random_large,test_random_models_3967524.err,13,0.6651
random_large,test_random_models_3967524.err,13,0.6403
random_large,test_random_models_3967524.err,14,0.6642
random_large,test_random_models_3967524.err,14,0.6405
random_large,test_random_models_3967524.err,15,0.6669
random_large,test_random_models_3967524.err,15,0.6392
random_small,test_random_small_3967525.err,0,0.696
random_small,test_random_small_3967525.err,0,0.7102
random_small,test_random_small_3967525.err,1,0.6905
random_small,test_random_small_3967525.err,1,0.6973
random_small,test_random_small_3967525.err,2,0.6836
random_small,test_random_small_3967525.err,2,0.6851
random_small,test_random_small_3967525.err,3,0.6823
random_small,test_random_small_3967525.err,3,0.6786
random_small,test_random_small_3967525.err,4,0.6794
random_small,test_random_small_3967525.err,4,0.6726
random_small,test_random_small_3967525.err,5,0.6768
random_small,test_random_small_3967525.err,6,0.6741
random_small,test_random_small_3967525.err,7,0.6713
random_small,test_random_small_3967525.err,8,0.6717
random_small,test_random_small_3967525.err,9,0.6691
random_small,test_random_small_3967525.err,10,0.6679
random_small,test_random_small_3967525.err,11,0.6667
random_small,test_random_small_3967525.err,12,0.6619
random_small,test_random_small_3967525.err,13,0.6619
random_small,test_random_small_3967525.err,14,0.662
random_small,test_random_small_3967525.err,15,0.6609
random_small,test_random_small_3967525.err,16,0.658
random_small,test_random_small_3967525.err,17,0.6602
random_small,test_random_small_3967525.err,18,0.6569
random_small,test_random_small_3967525.err,19,0.6557
random_small,test_random_small_3967525.err,20,0.656
random_small,test_random_small_3967525.err,21,0.6589
random_small,test_random_small_3967525.err,22,0.6576
random_small,test_random_small_3967525.err,23,0.6631
trained_large,test_trained_models_3967522.err,0,0.7643
trained_large,test_trained_models_3967522.err,0,0.7633
trained_large,test_trained_models_3967522.err,0,0.7622
trained_large,test_trained_models_3967522.err,1,0.769
trained_large,test_trained_models_3967522.err,1,0.7716
trained_large,test_trained_models_3967522.err,1,0.7739
trained_large,test_trained_models_3967522.err,2,0.7697
trained_large,test_trained_models_3967522.err,2,0.7693
trained_large,test_trained_models_3967522.err,2,0.7726
